school_name,school_type,estimated_enrollment,principal,hours,this_school_feeds_into,neighborhood,school_bus,school_meals,school_code,about,before_school_programs,after_school_programs,special_education_programs,school_day_academic_enrichment,arts_enrichment,student_support_programs,address,phone_number,fax_number,website,assistant_principal,school_tour,language_programs,email,other_campuses,uniforms_policy,athletics,transportation
Francis Scott Key Elementary School,"Elementary School, K-5",575,Mimi Ying Kasner,7:50 am-1:50 pm,A.P. Giannini Middle School,Outer Sunset,NA,"Breakfast, Lunch, After School Supper",544,"Our School Design Challenge: We believe in designing a learning environment that will enable teachers to develop and implement authentic inquiry based learning by optimizing existing classroom space and ensuring access for ALL students specifically ELL, SPED, and Girls as we build an integrated program focusing on S.T.E.A.M. education.",NA,"FSK after school program serves 400 students each day from 1:50 pm to 6:00 pm. As the extended day program, afterschool staff provide academic supports, homework help, and many extracurricular programs and activities including Mandarin, Spanish, Science, STEM, Art and more. These programs embrace the FSK school mission and vision. They follow the same expectations as defined by FSK community.",Separate class - Moderate/severe for grades 4-5,Tutoring in school,"Academic Chess, Visual Art Dance Camp, Movement Studio Art Ribbon Dance, Art in Action, Guitar and other Instrumental Music",Family liaison,"1530 43rd Avenue, San Francisco, CA, 94122",415-759-2811,415-759-2810,http://www.francisscottkeyschool.org/,Catherine HornMegan Page,"Wednesdays from 8:30 - 9:30 am, Oct. 17, 2018 - Jan.16, 2019. Call office @ (415) 759-2811 to schedule Individual Tours.",NA,kasnery@sfusd.edu,NA,NA,NA,NA
Frank McCoppin Elementary School,"Early Education, Elementary School, PreK-5",225,Bennett Lee,Kindergarten: 8:40am-2:30pm,Roosevelt Middle School,Inner Richmond,NA,"Breakfast, Lunch, After School Supper",549,"We believe that increasing communication and involvement with students' families will help us succeed in our promises to our students and their families. McCoppin School has been completely renovated and remodeled. We have brand new classrooms as well as a brand new multipurpose area with attached offices and a brand new library. The playground will be resurfaced and expanded. Plans are in place to implement new outdoor classrooms, a community mural on 6th Ave. and other greening projects for the school. We invite you to come take a look and be impressed!",Please accompany your child to the classroom to sign them in.,Email: argishti@rdnc.org,Resource Specialist services,Technology or computer lab,Dance and Movement,Family liaison,"651 6th Avenue, San Francisco, CA, 94118",415-750-8475,415-750-8474,NA,NA,Thursdays at 9 a.m. Please call to schedule a visit. Check in at the main office.,NA,sch549@sfusd.edu,NA,NA,NA,NA
Garfield Elementary School,"Elementary School, K-5",225,Jennifer Sethasang,7:50 am-1:50 pm,Francisco Middle School,North Beach,NA,"Breakfast, Lunch",562,"Our teachers make learning fun through the use of games, songs, and special projects. School-wide events, such as holiday and multicultural performances, and assemblies that recognize student achievement, create a strong community that builds students' confidence. We believe in strong, frequent, and meaningful communication with families. Avenues of communication include weekly bulletins, classroom newsletters, and weekly Student Success Team meetings to help parents develop strategies for improving attendance and academic achievement.",NA,"Garfield afterschool program: 1:50 to 6:00 p.m., grades K to 5. Scholarship and sliding-scale fee-based. Includes homework support, snacks, and enrichment activities/sports/clubs.",Separate class - Mild/moderate with autism focus,Tutoring in school,"Community-based organization: Leap... Imagination in Learning once to twice weekly, visual arts teacher bi-weekly, SF Symphony",Social worker,"940 Filbert Street, San Francisco, CA, 94133",415-291-7924,415-291-7916,http://www.garfieldelementarysf.org/,NA,Wednesdays at 8:45 a.m. by appointment only. First Wednesday of the Month is reserved for Special Day Class tours. Please call at least 24 hours in advanced to schedule.,Cantonese Dual Language Immersion,sch562@sfusd.edu,NA,NA,NA,NA
George Peabody Elementary School,"Elementary School, K-5",275,Willem Vroegh,8:40 am-2:40 pm,Roosevelt Middle School,Inner Richmond,NA,"Breakfast, Lunch, After School Supper",569,We realize everyone has a busy schedule and with little kids things always seem to come up. For these reasons reservations are not required. Please be aware that some tours will be very crowded and some will not be. We do not visit classrooms during instruction.,Our fee based before school program is open from 7:35-8:20 daily. It is run by the Richmond Neighborhood Center.,2:40-6:00 on site daily run by the Richmond Neighborhood Center. We have a bus to the JCC and to the  Booker T Community Center.   Fee based(scholarships available) PTA after school enrichment classes are offered daily from 2:40-3:50.,We have two SDC classes in 19/20; a k-3 and 3-5 MM,Tutoring in school,"We have an articulated arts program (music, dance, visual and performing arts). We work with SFUSD VAPA teachers and hired consultants for semester to year long instruction in the above disciplines.  We have a partnership with the SF Opera and have opera programs and residencies for grades k-3. Dance in the Schools through the SF Ballet for grades 2&3.",NA,"251 6th Avenue, San Francisco, CA, 94118",415-750-8480,415-750-8487,http://www.peabodyschool.com/,NA,We realize everyone has a busy schedule and with little kids things always seem to come up. For these reasons reservations are not required. Please be aware that some tours will be very crowded and some will not be. We do not visit classrooms during instruction.,NA,NA,NA,NA,NA,NA
George R. Moscone Elementary School,"Early Education, Elementary School, PreK-5",405,Valerie Ann Hoshino,7:50 am-1:50 pm,NA,Mission,94110,"Breakfast, Lunch",723,"Our faculty is committed to engaging and motivating students to become joyous, lifelong learners . Children have daily opportunities to participate in instruction through music, movement, and project based learning. Teachers collaborate closely and continually to share ideas and provide the best opportunities to promote student success, both academically and socially. We believe in strong communication and teamwork with families to support student achievement. Translation is an integral part of information and dialogue with families as all information (weekly newsletters, morning announcements, etc) are conveyed in three languages: English, Chinese, and Spanish.",Breakfast served from 7:25 to 7:45 a.m.,Mission Recreation Center one block away. Call 415-695-5012 for details.,Resource Specialist services,Technology teacher,"Dance program. art program. PE coach, Instrumental Music",Therapist,"2576 Harrison Street, San Francisco, CA, 94110",415-695-5736,415-695-5341,NA,NA,Wednesday morning at 8:15 after Fall Enrollment Fair. Arrangements can be made with visitors who are unable to make the Wednesday tour.,Spanish Dual Language Learner Pre-Kindergarten,sch723@sfusd.edu,NA,"White collared shirt or blouse, navy blue pants, skirt, or jumper.",NA,NA
Glen Park Elementary School,"Elementary School, K-5",385,Liz Zarr,8:40 am-2:40 pm,James Lick Middle School,Glen Park,NA,"Breakfast, Lunch, After School Supper",575,"We hold high expectations for all staff, students, and families, and support this in a variety of ways: we nurture a rigorous professional learning community, provide parent education and participation opportunities, and differentiate curriculum for student access. We use a restorative approach to problem solving and conflict resolution between and among students, staff, and families. We also have regular showcases of academic and artistic work to allow students to experience the satisfaction of a job well done. In addition, we provide literacy support in English and Spanish, a full-time librarian, and a Wellness Center staffed by a full-time social worker. Our teachers provide a solid foundation of skills instruction integrated with thematic teaching across grade levels, we use the Teachers College Reading and Writing Workshop model, and staff meets regularly to analyze programs and practices to ensure student academic, social, and emotional needs are being met.",NA,Day staff and afterschool staff coordinate efforts through a teacher liaison to support student academic achievement and social/emotional growth.,Separate class - Moderate/severe with autism focus,Spanish literacy interventionist,NA,Therapist,"151 Lippard Avenue, San Francisco, CA, 94131",415-469-4713,415-337-6942,http://www.glenparkschool.org/,NA,Tuesdays 9 - 10 am,Spanish Biliteracy Program,sch575@sfusd.edu,NA,NA,NA,NA
Gordon J. Lau Elementary School 劉貴明小學,"Early Education, Elementary School, PreK-5",710,Gloria Choy,8:40 am-2:40 pm,Marina Middle School,Chinatown,NA,"Breakfast, Lunch, After School Supper",490,"Even though our school is the largest elementary school in the district, we try to meet the needs of every student.",Our morning literacy program is a free service for working parents who need to drop off as early as 7:50 a.m.,"On-site after-school program: 2:40 to 6:00 p.m., grades K-5. Includes activities such as tutoring, arts, or field trips.",Resource Specialist services,Tutoring in school,"AIM program, SF Symphony, Acrosports, SFartsED, Purple Silk",Therapist,"950 Clay Street, San Francisco, CA, 94108",415-291-7921,415-291-7952,http://laues.sfusd.edu/,Lisa Kwong,9:00 a.m. Tuesdays (October to April). Please call our school office at (415)291-7921 to set an appointment.,Cantonese Biliteracy Program,sch490@sfusd.edu,NA,NA,NA,NA
Grattan Elementary School,"Early Education, Elementary School, PreK-5",410,Catherine Walter,7:50 am-1:50 pm,A.P. Giannini Middle School,Haight Ashbury,NA,"Breakfast, Lunch",589,"At Grattan, we take a unique approach to teaching. We believe that authentic learning will take place with the acquisition of real skills in real context, and that children will engage more freely and learn best if given choice whenever possible—while being allowed to create and tinker frequently. We believe that gym and art are paramount to education as is the need to use the outdoors as a learning environment. We believe that good books across all genres are absolutely necessary to instill a love of reading. We are committed to exploring alternative forms of assessment including progress report narratives, portfolios of authentic work, oral exams, student presentations, and performances. All students participate in daily classroom activities that are integrated and designed to be open-ended and highly engaging.",NA,"Grattan After School Program (GASP) is a sliding-scale, tuition-based K-5 program with direct connections to the school day. SFUSD Early Education Department Out of School Time Program: PreK only, 7:45 a.m.-5:45 p.m., 415-759-2850.",Separate class - Moderate/severe with autism focus for grades K-5,Tutoring in school,"Technology, Storytelling",Social worker,"165 Grattan Street, San Francisco, CA, 94117",415-759-2815,415-759-2803,NA,NA,NA,NA,Sch589@sfusd.edu,NA,NA,NA,NA
Guadalupe Elementary School,"Early Education, Elementary School, PreK-5",420,Maria Luz Agudelo,8:40 am-2:40 pm,Visitacion Valley Middle School,Excelsior,NA,"Breakfast, Lunch",593,"We promote equity by providing learning experiences and interventions that will prepare our students to succeed in secondary and post-secondary school and compete in an increasingly complex global society. We provide a rigorous, non-competitive setting where all students feel included and are encouraged to take risks and work towards their personal best. Teachers will use various strategies and teaching methodologies to make concepts accessible to all learners. Schoolwide implementation of the Visual Thinking Strategies protocol improves students' observation, thinking, and discussion skills. These strategies will also strengthen the writing of English Learners. Instruction will be differentiated to meet the individual needs of English Learner students.",NA,"SFUSD Early Education Department Out-of-School-Time Program: Excelsior @ Guadalupe, PreK & K-5 grade, 2:30 p.m.-5:30 p.m., 7:30 a.m.-5:30 p.m. (spring break & summer), 415-469-4753.",Resource Specialist services,Technology teacher,"Ceramics, Music",Mentoring,"859 Prague Street, San Francisco, CA, 94112",415-469-4718,415-469-4066,NA,Thomas Graven,Wednesdays from Oct. to Jan. Call school for times and dates.,Spanish Biliteracy Program,sch593@sfusd.edu,NA,NA,NA,NA
Harvey Milk Civil Rights Academic Elementary School,"Elementary School, K-5",245,Ronnie Machado,9:30 am-3:35 pm,Everett Middle School,Castro/Upper Market,"94110, 94124, 94134","Breakfast, Lunch, After School Supper",505,"Harvey Milk Civil Rights Academy is a small school in the Castro, named after its most famous persona—Harvey Milk! Our mission is to empower student learning by: teaching tolerance and non-violence; celebrating our diversity; achieving academic excellence; building strong home-school community connections; and understanding lessons from the Civil Rights Movement centered on social justice and peace. We are a Model Inclusive School, meaning our students with identified special needs are included and supported within the general education classroom. We support our experienced, high-quality teachers with resources and weekly time to collaborate.","We partner with the Mission YMCA to provide services to our before and after school programs. Their mission is ""to build strong kids, strong families and strong communities by enriching the lives of all people in spirit, mind and body...building the skills and habits for a healthy life, being empowered to reach their highest potential.""","ExCEL program, Monday through Friday, end of school until 5:00 or 6:00 PM. Free of cost.",Resource Specialist services,Technology teacher,Writing or poetry,Therapist,"4235 19th Street, San Francisco, CA, 94114",415-241-6276,415-241-6545,https://harveymilk.com/,NA,Please call or check our website.,NA,sch505@sfusd.edu,NA,NA,NA,NA
Hillcrest Elementary School,"Elementary School, K-5",450,Katerina Palomares,School yard supervision starts only at 7:30am.,"Dr. Martin Luther King, Jr. Middle School",Excelsior,"94124, 94134","Breakfast, Lunch, After School Supper",614,"At Hillcrest, every classroom features learning activities that are rigorous, relevant, and relational. In practical terms, it is our hope that students are given meaningful learning activities that are connected to their experiences, interests, inclinations, culture and collaborative spirit. Students are to engage in learning that develops their academic, intellectual and social growth.",NA,Assistance in finding off-site programs,Separate class - Mild/moderate,Mission Science Workshop program,Visual arts,Family liaison,"810 Silver Avenue, San Francisco, CA, 94134",415-469-4722,415-469-4067,NA,Beth Bonfiglio,"Wednesday mornings at 9 a.m., hosted by family liaisons. Please call to schedule. Spanish and Cantonese interpretation available.",Spanish Biliteracy Program,NA,NA,Optional - any white-collared shirt and navy blue bottom.,NA,NA
Jean Parker Elementary School,"Elementary School, K-5",235,Sara Saldaña,8:40 am-2:40 pm,Francisco Middle School,"Chinatown, North Beach, Russian Hill",NA,"Breakfast, Lunch, After School Supper",638,Come see what we're all about!,NA,"Program: K-5th grade, 2:30PM-6:00PM, 8:00AM-6:00PM (Spring Break & Summer), (415) 291-7967.",Resource Specialist services,Tutoring in school,"Artist-in-residence, visual art, instrumental music, Adventures in Music",Family liaison,"840 Broadway Street, San Francisco, CA, 94133",415-291-7990,415-291-7996,https://sites.google.com/sfusd.edu/jeanparkerelementary/home,NA,Every Thursday 10/24/19 - 12/19/19 from 8:45 am - 9:45 am. Contact school to sign up or to arrange an alternate visit.,Cantonese Biliteracy Program,sch638@sfusd.edu,NA,"White Shirt, Navy pants (Optional: Plaid Jumper, Royal Blue Sweater)",NA,NA
Jefferson Elementary School,"Elementary School, K-5",515,Dr. Kim Gilmore,8:40 am-2:40 pm,A.P. Giannini Middle School,Inner Sunset,94102,"Breakfast, Lunch",644,"Jefferson Elementary is a large school with a small school feel. Jefferson's unique location allows for dynamic partnerships with the greater community and the enhancement of educational opportunities for both students and teachers. The teachers and staff at Jefferson are curious learners who are passionate about delivering meaningful and authentic learning. Students come to Jefferson with a range of talents and interests that are enhanced by the numerous educational programs and Jefferson traditions. The Arts and Sciences are key strengths that directly impact student success, as well as peer mentoring and buddy programs. With a diverse student population, Jefferson takes a holistic approach and continuously focuses on differentiating instruction that meets the needs of each student. Students leave Jefferson as well-rounded citizens with skills to visualize and create a future of success for themselves and their community.",7:45 to 8:40 a.m.,"SFUSD Early Education Department Out of School Time Program: K-5th grade, 2:40PM-5:45PM, 7:45AM-5:45PM (Spring Break & Summer), (415) 759-2795. Various enrichment activities.",Separate class - Mild/moderate with autism focus,Project-based learning,"Drama, visual arts, ceramics, dance, poetry, Adventures in Music program, San Francisco Opera School Partnership program.",Social worker,"1725 Irving Street, San Francisco, CA, 94122",415-759-2821,415-759-2806,NA,NA,Most Fridays 9 a.m. Oct. to Dec 13th,NA,sch644@sfusd.edu,NA,NA,NA,NA
John Muir Elementary School,"Early Education, Elementary School, PreK-5",255,Sara Liebert,8:40 am-2:55 pm,James Lick Middle School,Lower Haight/Western Addition,"94124, 94110, 94115, 94130, 94102","Breakfast, Lunch, After School Supper",650,We consider families to be the first teachers of their children and our motto at John Muir is: “teamwork makes the dream work.”,Before-school care is provided for a nominal fee by the Beacon Program.  Call 415-749-2714 for more information.,Onsite afterschool care for K-5 students offered through Beacon Community YMCA at no cost. Call 415-749-2714 for more information.,Resource Specialist services,Spanish literacy interventionist,"Visiual and performing arts, Stagewrite, performing arts workshop",Therapist,"380 Webster Street, San Francisco, CA, 94117",415-241-6335,415-431-9938,https://www.johnmuirsf.com/,NA,Parent liaison hosts school tours on Wednesdays at 9:00 a.m. Please call for an appointment. Identification is required on the day of the tour.,Spanish Biliteracy Program,lieberts@sfusd.edu,NA,"White or burgundy polo shirt; navy blue pants, skirt or jumper; blue or burgundy sweater",NA,NA
John Yehall Chin Elementary School,"Elementary School, K-5",275,Allen Lee,9:25 am-3:35 pm,Francisco Middle School,North Beach,94102,"Breakfast, Lunch",872,"Monthly programs such as the School Spirit Store, and weekly programs such as the School Pride Tickets, and the Lily Cai Chinese Cultural Dance Program are just some of the unique opportunities that our students and families all love.",NA,3:35 to 6:00 p.m.: fee based based on qualifications. Run by the Chinatown YMCA here on site at JYC. Only open to select students new to JYC who now attend JYC and to pre-qualified students who attend JYC. Students receive help with homework and participate in recreational and enrichment activities.,Resource Specialist services,Project-based learning,LEAP...imagination in learning (in spring semester); San Francisco Ballet (in early spring semester); Lily Cai Chinese Cultural Dance (Tuesdays); VAPA Music; VAPA Dance,Social worker,"350 Broadway, San Francisco, CA, 94133",415-291-7946,415-291-7943,NA,NA,Call the school to schedule.,Cantonese Biliteracy Program,NA,NA,White or blue tops; blue bottoms; school t-shirt; school sweatshirt (encouraged),NA,NA
Jose Ortega Elementary School,"Early Education, Elementary School, PreK-5",415,Benjamin Klaus,7:50 am-1:50 pm,Aptos Middle School,Ocean View,NA,"Breakfast, Lunch, After School Supper",746,"Many opportunities augment the academic curriculum at Ortega. Students receive 100 minutes of physical education weekly. Our community garden and our greening projects are connected with science education. The Stonestown YMCA runs an onsite afterschool program that provides a nurturing environment for our students. Additional programs offered at Ortega include social awareness programs (penny and can drives), performance opportunities, kickball and cheerleading teams, Ocean's week, and the 5th grade camping trip.",Breakfast is served from 7:30 to 8:15 AM.,"Mon-Fri, 1:50 to 6:00 PM. Umoja After School Program K-5 provides students with a variety of fun activities, field trips, and healthy snacks under the care of professionally trained YMCA employees at the school. $230-$428/month or ExCEL program at no cost.",Resource Specialist services,STEAM (science; technology; engineering; arts; mathematics),Instrumental music (grades 4-5),Family liaison,"400 Sargent Street, San Francisco, CA, 94132",415-469-4726,415-584-7972,http://www.joseortegaschool.org/,NA,"9 a.m. on Tuesdays from October to January. An appointment is necessary; please call the office so we can arrange a parent tour guide to show you the school. Also, please let us know if a translator is required.",Mandarin Dual Language Immersion,sch746@sfusd.edu,NA,"Navy blue cardigans/sweat jackets, navy blue pants (no jeans), navy blue jumpers, navy blue, light blue or white collared shirts or blouses, and white or blue socks.",NA,NA
Junipero Serra Elementary School,"Elementary School, K-5",320,Eve Cheung,8:30 am-2:45 pm,NA,Bernal Heights,NA,"Breakfast, Lunch",656,"A strong caring school community works together towards the academic success of all students. This is realized through our Caring Schools Community meetings where students have a voice in problem-solving, social issues, or issues important to them. Parents and students communicate through home-side activities, and buddies create a sense of school community. Our teachers collaborate with each other and offer extra help to provide the best education for our students.",NA,"Program: K-5th grade, 2:30PM-5:30PM, 7:30AM-5:30PM (Spring Break & Summer), (415) 695-5922.",Resource Specialist services,Technology teacher,NA,NA,"625 Holly Park Circle, San Francisco, CA, 94110",415-695-5685,415-920-5194,NA,NA,Call school for times/dates.,Spanish Biliteracy Program,NA,NA,NA,NA,NA
Lafayette Elementary School,"Early Education, Elementary School, PreK-5",565,Jacob Hodgson,7:50 am-1:50 pm,Presidio Middle School,Outer Richmond,NA,"Breakfast, Lunch",664,"Teachers at Lafayette employ a multicultural curriculum that celebrates and honors the rich ethnic and cultural heritage that is representative of our student population and of the greater community in which we live. School wide programs that honor our diversity include Multicultural Night, Lunar New Year Lion Dance, and Black History Month. We value the involvement of parents and families in our school. The Parent Teacher Association sponsors school wide activities to support student learning, build community and create joy. These activities include the Reflections Art Contest,  Halloween Carnival, Spell-a-Thon, Book Fair, School Musical, Silent Auction and the End-of-Year Picnic.",NA,"YMCA after school program: fee-based, grades K-5, 1:50 to 6:00 p.m.",Separate classes with a focus on services for deafness and hearing impairment: PreK to 5 (auditory/oral),Technology teacher,Lafayette has a strong visual and performing arts focus.,Therapist,"4545 Anza Street, San Francisco, CA, 94121",415-750-8483,415-750-8472,PTA WebsiteRDNC Afterschool Program,Craig Berger,"Hosted by the principal from October through January, Wednesdays from 8:30 to 10:00 AM. By appointment only . Please call to schedule escorted visits. Your picture ID will be kept during time of visit, and sign-in and badges are required.",NA,sch664@sfusd.edu,NA,NA,NA,NA
Lakeshore Alternative Elementary School,"Elementary School, K-5",530,Matthew Hartford,9:30 am-3:35 pm,James Denman Middle School,Lakeshore,NA,"Breakfast, Lunch, After School Supper",670,"Lakeshore families come from far and wide with a range of experience in schools, speaking many languages and needing a range of social and academic supports. We employ a full time School Social Worker and Elementary Adviser to meet social and behavioral needs of our students. In 2019-20 we will employ a full time teacher as a literacy specialist to serve the academic needs of all students.",Mandarin and Cantonese language before- and after-school programs: 8:15 to 9:15 a.m. and 3:45 to 4:45 p.m.,Japanese Asobi: Tuesdays 3:45 to 4:45 PM,Separate class - Mild/moderate with autism focus,STEAM (science; technology; engineering; arts; mathematics),"Studio art, music (grades K-2), SF Ballet (grade 2), SFUSD Elementary Arts Program",Mentoring,"220 Middlefield Drive, San Francisco, CA, 94132",415-759-2825,415-753-8312,http://www.lakeshoreelementary.org/,Sarah Twiest,Please check lakeshoreelementary.org for latest available dates,NA,sch670@sfusd.edu,NA,NA,NA,NA
Lawton Alternative School (K8),"Elementary School, K-8 School, Middle School, K-8",615,Armen Sedrakian,Middle School: 9:00 a.m. - 3:16 p.m.,NA,Outer Sunset,"94112, 94122, 94124, 94134","Breakfast, Lunch",676,"Our teachers design lesson plans that maximize the opportunities for our students to become actively involved in mastering the specific subject matter. Our dedicated teachers also maintain regular communication with students' parents and involve parents in their children's education. Teachers provide progress reports to parents in addition to regular report cards. Information to parents focuses on assessments, achievement data, meeting standards, and completion of requirements for grade level and promotion. Teachers at Lawton create classrooms that are responsive to all diverse learners. They engage students in discussion, debate, creative thinking, questioning, and teamwork, and promote relationship building and interdependence.",K.E.E.P - Fee-based AM and PM childcare. Call 415-681-0390 or 415-661-9891 for more details.,*Fee based Mandarin program,Separate class - Moderate/severe,Technology teacher,"Artists-in-residency for dance and theatre, literary, and fine arts; music teacher for performing arts; and partnership with the San Francisco Ballet and the San Francisco Symphony-Adventures In Music Program.",Counselor,"1570 31st Avenue, San Francisco, CA, 94122",415-759-2832,415-759-2842,NA,Heidi Dobrott,"Middle school tours will be held on 4 Wednesdays from 10-11am. Dates are: 10/23, 10/30, 11/6, 11/13. Eventbrite link: https://www.eventbrite.com/e/lawton-alternative-middle-school-tour-2019-tickets-49975645501Lawton Alternative Middle School Tour 2019",NA,sch676@sfusd.edu,NA,NA,NA,NA
Leonard R. Flynn Elementary School,"Early Education, Elementary School, TK-5",465,Tyler Woods,8:35 am-2:45 pm,James Lick Middle School,"Bernal Heights, Mission",NA,"Breakfast, Lunch, After School Supper",680,"Community: We celebrate diversity and encourage acceptance for all people by modeling empathy, respect and non-violence.",NA,"Mission Graduates: 2:40 to 5:30 PMSFUSD Out of School Time Program: 2:30PM-6:00 PM, (Spring/Summer Break - Full Days), (415) 695-5782Mariposa Kids: 2:40 to 6:00 PM, (415) 323-0732",Separate class - Social-emotional/behavioral enhanced classroom (SOAR),Tutoring in school,Visual arts,Therapist,"3125 Cesar Chavez Street, San Francisco, CA, 94110",415-695-5770,415-695-5837,NA,Janice Jones Mitchell,01/15/2020,Spanish Dual Language Immersion,NA,NA,"Top: white or dark green, plain with no logo (Flynn gear ok).  Bottom: black or khaki pants or shorts; black, khaki, or “Carden plaid” skirt.",NA,NA
Longfellow Elementary School,"Elementary School, K-5",520,Alicia Aleman,Jamestown provides before school care from 7:00-8:20 for a fee,James Denman Middle School,Outer Mission,NA,"Breakfast, Lunch, After School Supper",691,"Our goal is to nurture confident, open-minded, independent thinkers. We prepare students for global responsibility and educate them for human greatness.",Breakfast at 8:20 AM,Boys and Girls Club (Excelsior) 415-334-2582,Separate class - Mild/moderate for grades 1-5,Technology teacher,Visual arts,Social worker,"755 Morse Street, San Francisco, CA, 94112",415-469-4730,415-469-4068,SF Longfellow PTA,Hector Lee,Mondays 9:15 am. Call school for times/dates.,Filipino Foreign Language in Elementary School (FLES) Pathway is for all students are eligible regardless of language proficiency.,alemana@sfusd.edu,NA,"White shirts, navy blue pants or skirts, navy blue cardigan sweater.",NA,Muni 14
Malcolm X Academy Elementary School,"Early Education, Elementary School, PreK/TK-5",115,Matthew Fitzsimmon,8:20 am-2:40 pm,"Willie L. Brown Jr. Middle SchoolDr. Martin Luther King, Jr. Middle School",Bayview,94124,"Breakfast, Lunch, After School Supper",830,"Our academic program focuses on increasing our student achievement with an emphasis on inspiring a passion for learning.We provide students with a high-quality education that prepares them to fully participate as citizens in the 21st century. As a community school, we collaborate with students and families. We promise to hear and include our students' and families' voices, dreams, and hopes in planning and developing our school culture and academic program.",Black to the Future / Urban Ed Academy. Schoolyard is open at 8:00 a.m.,Hours are MTuWF from 2:40 to 6:00 p.m. and Th from 1:00 to 6 p.m.,Resource Specialist services,Tutoring in school,Writing or poetry,Therapist,"350 Harbor Road, San Francisco, CA, 94124",415-695-5950,415-647-1647,NA,NA,Call 415-695-5950 to schedule an appointment.,NA,sch830@sfusd.edu,NA,"Black, Navy Blue or Brown Pants, Shirts White, Navy Blue or Black Polo",NA,NA
Marshall Elementary School,"Elementary School, K-5",265,Peter Avila,"Supervision on yard begins at 8:20 AM. Breakfast Club starts at 7:30. If interested in signing up for Breakfast Club, please see Parent Resources Page for more information.",Everett Middle School,Mission,NA,"Breakfast, Lunch",714,"Students at Marshall Elementary School are high-achieving, joyful learners—and we actively engage them in the learning process. At Marshall, we believe in allocating resources according to individual needs. We aim to ensure that all community voices are heard, to hold students to high expectations, and to showcase and celebrate student work. We welcome and value parent, teacher, and community input to make collaborative decisions to increase student achievement and promote joyful learning. Our vibrant and growing Parent Teacher Association provides financial funding to support many academic programs.",Morning Homework Club from 7:30-8:15 a.m.,"Mission Graduates, no cost for students who qualify for Free/Reduced Lunch. Implementing for 2015-2016 sliding scale fee for families who do not meet free/reduced lunch criteria. Gr. 1-5: 2:55-6pm (M-Th), 2:55-5pm (F), K: 2:55-5pm. CYO offsite bus pick up at school-fee based. Mission Boys and Girls Club pick up at site, walk students to program.",Resource Specialist services,Outdoor education program,"Visual Art for all grades. Music for grades 3-5. Berkeley Rep Theatre in grades K-2, LEAP ARTS in grades 3-5.",Family liaison,"1575 15th Street, San Francisco, CA, 94103",415-241-6280,415-241-6547,https://sites.google.com/sfusd.edu/escuelamarshall/home,NA,Fridays  8:40AM-10:00 October-January. Please call the school to schedule appointment.,Spanish Dual Language Immersion,NA,NA,"White Shirts, Navy Blue pants, skirts, or jumpers with Navy Blue Sweaters.",NA,NA
McKinley Elementary School,"Elementary School, K-5",380,Molly Pope,7:50 am-2:00 pm,Everett Middle School,Castro/Upper Market,NA,"Breakfast, Lunch",718,"Besides our strong core curriculum, we offer enrichment programs such as Adventures in Music, Artist in Residence, and Music as well as many special events during the year. In addition, the Afterschool Enrichment Program runs a high quality, licensed, on-site program. The afterschool program staff work with teachers to support and enrich curriculum from the regular school day. We believe that everyone in the school community (including staff, parents and students) is responsible for student achievement. In order to keep our promises to the families at McKinley, we must make sure that communication is frequent and reaches all families in a timely manner. We welcome every family to feel included in school meetings, events, and activities.",NA,"After School Enrichment Programs (ASEP), Monday through Friday, 2:00 to 6:00 p.m. (Wednesdays 1:00-6:00)",Resource Specialist services,Tutoring in school,Visual arts,Social worker,"1025 14th Street, San Francisco, CA, 94114",415-241-6300,415-241-6548,http://mckinleyschool.org,NA,Visit our tours page for up-to-date tour information and to book a tour.,NA,NA,NA,NA,NA,NA
Miraloma Elementary School,"Elementary School, K-5",415,Noah Ingber,7:50 am-1:50 pm,James Denman Middle School,Miraloma,NA,"Breakfast, Lunch",722,"Vision: Our goal is for all students at Miraloma to enjoy learning and achieve their personal best. We aim to guide all students to become resourceful and resilient lifelong learners who persevere when presented with academic, social and emotional challenges. We strive to teach students to be active participants in their community and advocates for social justice. We wish for students to leave Miraloma with a solid foundation for success, knowing that they have the tools needed to navigate the changing world.",NA,Visit http://www.miralomaschool.com/main/after-school-programs.html for more information.,Separate class - Mild/moderate with autism focus,STEAM (science; technology; engineering; arts; mathematics),Writing or poetry,Social worker,"175 Omar Way, San Francisco, CA, 94127",415-469-4734,415-469-4069,https://miralomasf.com/,NA,Schedule a tour or take an online tour by watching our video podcasts. Go to Miralomasf.com for most up to date tour information.,NA,sch722@sfusd.edu,NA,SFUSD dress code,NA,NA
Mission Education Center Elementary School,"Elementary School, PreK-5",82,Carla Llewelyn-Vasquez,9:30 am-3:30 pm,James Lick Middle School,Noe Valley,94131,"Breakfast, Lunch",724,Learn more about our prekindergarten.,NA,NA,Resource Specialist services,Spanish literacy interventionist,"SF Ballet World Dance Program, Visual/Creative Arts, Performing Arts Workshop, Symphony Program, Music Program, Peopleologie Arts Program",Therapist,"1670 Noe Street, San Francisco, CA, 94131",415-695-5313,415-695-5339,NA,NA,Call to schedule an appointment.,Spanish Newcomer Program,sch724@sfusd.edu,NA,NA,NA,NA
